"","taks","p-value","test_stat"
"1",1,0,352.333955430141
"2",2,0,265.426964185953
"3",3,0,365.181840989752
"4",4,0,371.965259427582
"5",5,0,339.552760101659
"6",6,0,306.920394062837
"7",7,0,357.118719742934
"8",8,0,326.597123227634
"9",9,0,313.173024716444
"10",10,0,396.935666742921
"11",11,0,402.562206391426
"12",12,0,340.902594272608
"13",13,0,271.434809157266
"14",14,0,361.309593094379
"15",15,0,349.435532262738
"16",16,0,310.203550043613
"17",17,0,382.343333912467
"18",18,0,382.596526936607
"19",19,0,289.904747754658
"20",20,0,375.158240236584
"21",21,0,307.909298903689
"22",22,0,316.109701257262
"23",23,0,251.759498849255
"24",24,0,347.506215687716
"25",25,0,368.63112050614
"26",26,0,279.329147571554
"27",27,0,352.902111533368
"28",28,0,354.46859252399
"29",29,0,348.58969292149
"30",30,0,384.92421335001
"31",31,0,360.783796051642
"32",32,0,336.567989530568
"33",33,0,428.727954970015
"34",34,0,317.90960450874
"35",35,0,290.117486763137
"36",36,0,335.458307808188
"37",37,0,307.974051577809
"38",38,0,324.912963043662
"39",39,0,320.759807867319
"40",40,0,336.814005146812
"41",41,0,317.233277989285
"42",42,0,294.283079845125
"43",43,0,378.73953755047
"44",44,0,411.601926359955
"45",45,0,290.430508399991
"46",46,0,301.453727207936
"47",47,0,285.678185548248
"48",48,0,327.979127371004
"49",49,0,278.781418236777
"50",50,0,302.37138447389
"51",51,0,340.301978309133
"52",52,0,341.300370451438
"53",53,0,338.641699485394
"54",54,0,317.718114980578
"55",55,0,316.863894606125
"56",56,0,295.428429000521
"57",57,0,323.809408559616
"58",58,0,330.162048644769
"59",59,0,337.746995508913
"60",60,0,293.832058254552
"61",61,0,368.891647793757
"62",62,0,342.788194500203
"63",63,0,411.093295625643
"64",64,0,325.389226549142
"65",65,0,420.81435677208
"66",66,0,333.121042336021
"67",67,0,399.454460180385
"68",68,0,350.843342340972
"69",69,0,350.933697148911
"70",70,0,289.959932967281
"71",71,0,357.593079438122
"72",72,0,340.447570476865
"73",73,0,298.202136627654
"74",74,0,330.020850328838
"75",75,0,275.478110939973
"76",76,0,314.079532233398
"77",77,0,300.976259972366
"78",78,0,349.640410840667
"79",79,0,293.711548982908
"80",80,0,349.669441070122
"81",81,0,393.747047931861
"82",82,0,326.651688413909
"83",83,0,327.592758406322
"84",84,0,320.983991927163
"85",85,0,371.428863088355
"86",86,0,359.136836538031
"87",87,0,382.497979734591
"88",88,0,344.543690733217
"89",89,0,301.37476426548
"90",90,0,312.627088197283
"91",91,0,332.74205726906
"92",92,0,331.627692641121
"93",93,0,326.435408564681
"94",94,0,285.17597851606
"95",95,0,386.590470088086
"96",96,0,238.054318373844
"97",97,0,373.9853679131
"98",98,0,348.685383938495
"99",99,0,314.324014230733
"100",100,0,356.66586360521
"101",101,0,335.251747990839
"102",102,0,350.695871017806
"103",103,0,361.751373081011
"104",104,0,309.590729679632
"105",105,0,371.49342825692
"106",106,0,310.416435822425
"107",107,0,346.096833351397
"108",108,0,268.077249570106
"109",109,0,387.367710486294
"110",110,0,275.546906257424
"111",111,0,337.155406933432
"112",112,0,354.46720292808
"113",113,0,345.069018651748
"114",114,0,372.428361724706
"115",115,0,360.516635095897
"116",116,0,317.527561401913
"117",117,0,377.42325451571
"118",118,0,272.879433916839
"119",119,0,377.921502525004
"120",120,0,333.835948486817
"121",121,0,344.6286239061
"122",122,0,344.45458448163
"123",123,0,364.675175116296
"124",124,0,389.614760154548
"125",125,0,304.44611508889
"126",126,0,369.683372806356
"127",127,0,271.539097178775
"128",128,0,335.99711129781
"129",129,0,333.056691312362
"130",130,0,398.181414198354
"131",131,0,340.326238246384
"132",132,0,308.528910870017
"133",133,0,323.32299924077
"134",134,0,333.762679389102
"135",135,0,414.817686499102
"136",136,0,355.131638868285
"137",137,0,374.371778556521
"138",138,0,337.46950136941
"139",139,0,307.473228318907
"140",140,0,275.478110939973
"141",141,0,295.174999747422
"142",142,0,362.572999616545
"143",143,0,371.203683959737
"144",144,0,389.245711477711
"145",145,0,354.020111446697
"146",146,0,344.381188939543
"147",147,0,348.870840236972
"148",148,0,324.890107865586
"149",149,0,346.441029945481
"150",150,0,305.543285765412
"151",151,0,344.293114990562
"152",152,0,303.500538244731
"153",153,0,384.545356358101
"154",154,0,261.961599669653
"155",155,0,317.980280005316
"156",156,0,352.203483751115
"157",157,0,421.965829567195
"158",158,0,327.677061981431
"159",159,0,262.504811227245
"160",160,0,346.256860104207
"161",161,0,358.611956071914
"162",162,0,389.62089588568
"163",163,0,316.407564167106
"164",164,0,322.083482895883
"165",165,0,395.420431213549
"166",166,0,300.839486290229
"167",167,0,304.69950760401
"168",168,0,366.357097851906
"169",169,0,354.623297132916
"170",170,0,343.967458886582
"171",171,0,364.079106193986
"172",172,0,427.061491603616
"173",173,0,331.356721832841
"174",174,0,337.012145703239
"175",175,0,330.414289368516
"176",176,0,355.859383118916
"177",177,0,320.143869225347
"178",178,0,334.373720707834
"179",179,0,330.529482471672
"180",180,0,341.187525103989
"181",181,0,338.368572809364
"182",182,0,312.464137649695
"183",183,0,322.217149800458
"184",184,0,338.444713442439
"185",185,0,351.376217489377
"186",186,0,385.618715513768
"187",187,0,340.539141677786
"188",188,0,347.204126937797
"189",189,0,397.084164897401
"190",190,0,337.797774765312
"191",191,0,326.461063278966
"192",192,0,319.954794168421
"193",193,0,383.083705790906
"194",194,0,326.76372176401
"195",195,0,361.969616462715
"196",196,0,392.741127816797
"197",197,0,339.223089346158
"198",198,0,337.266367646822
"199",199,0,357.497789869443
"200",200,0,312.013067713796
"201",201,0,330.961042506577
"202",202,0,330.271752733318
"203",203,0,300.118545237442
"204",204,0,332.580001151208
"205",205,0,374.544561515613
"206",206,0,349.132277819488
"207",207,0,333.817242213078
"208",208,0,366.299496049194
"209",209,0,299.123634184235
"210",210,0,321.656426252877
"211",211,0,298.220042466348
"212",212,0,345.790065379111
"213",213,0,290.815843356715
"214",214,0,350.796999810533
"215",215,0,349.13358145762
"216",216,0,271.42189871938
"217",217,0,330.573884987892
"218",218,0,325.773411054194
"219",219,0,333.293670880747
"220",220,0,356.887473999075
"221",221,0,356.969848716091
"222",222,0,321.782532043994
"223",223,0,341.444912733229
"224",224,0,296.590487914737
"225",225,0,385.454441916106
"226",226,0,364.212992344616
"227",227,0,323.414262634173
"228",228,0,310.919285261586
"229",229,0,356.293448222738
"230",230,0,325.107454994627
"231",231,0,278.175070115827
"232",232,0,316.483235963935
"233",233,0,278.10657220243
"234",234,0,352.390934148396
"235",235,0,339.438159825862
"236",236,0,339.660895505196
"237",237,0,292.6689907658
"238",238,0,357.803566598272
"239",239,0,333.937084182207
"240",240,0,351.080813025939
"241",241,0,377.788036636204
"242",242,0,302.37138447389
"243",243,0,296.33520312176
"244",244,0,362.491578307668
"245",245,0,322.453972735953
"246",246,0,344.514899494699
"247",247,0,261.673013642634
"248",248,0,368.194828363514
"249",249,0,291.461287070266
"250",250,0,307.990735413417
"251",251,0,282.692899399857
"252",252,0,304.174386514231
"253",253,0,277.355970028632
"254",254,0,332.431866383592
"255",255,0,364.761868989373
"256",256,0,362.197571545669
"257",257,0,355.574580112846
"258",258,0,315.181042613705
"259",259,0,335.129897449644
"260",260,0,348.324810845119
"261",261,0,311.172879629764
"262",262,0,274.465460439628
"263",263,0,322.467636444617
"264",264,0,320.720364065645
"265",265,0,354.452982706513
"266",266,0,317.019667626917
"267",267,0,427.144639500843
"268",268,0,357.769884158057
"269",269,0,368.520016650182
"270",270,0,309.215843000968
"271",271,0,295.205895057975
"272",272,0,375.629725950365
"273",273,0,289.948505877679
"274",274,0,383.43738071333
"275",275,0,334.444656816759
"276",276,0,361.641637890431
"277",277,0,340.58427843478
"278",278,0,388.321126494307
"279",279,0,393.955060361454
"280",280,0,341.767361200631
"281",281,0,298.589620769767
"282",282,0,337.121016113851
"283",283,0,309.1501635012
"284",284,0,369.80284581147
"285",285,0,313.63873399848
"286",286,0,324.046789029167
"287",287,0,357.704007808977
"288",288,0,257.160879034339
"289",289,0,313.474879878654
"290",290,0,335.258870435151
"291",291,0,350.141854903082
"292",292,0,277.043564510769
"293",293,0,324.25677269687
"294",294,0,311.686392310909
"295",295,0,295.197909610053
"296",296,0,378.304696830211
"297",297,0,400.653052907381
"298",298,0,321.319982265625
"299",299,0,360.20439567343
"300",300,0,288.415329691443
"301",301,0,348.364172728685
"302",302,0,350.620584462616
"303",303,0,323.164121103028
"304",304,0,354.025434218379
"305",305,0,391.203368927944
"306",306,0,324.759262945289
"307",307,0,366.712485784985
"308",308,0,357.191372063223
"309",309,0,370.424171032584
"310",310,0,299.547914825292
"311",311,0,373.866963108768
"312",312,0,391.308231668747
"313",313,0,314.887505719602
"314",314,0,332.101120407179
"315",315,0,393.559112995852
"316",316,0,266.523365818016
"317",317,0,333.331040035724
"318",318,0,321.789952605646
"319",319,0,372.181218136923
"320",320,0,339.871635700667
"321",321,0,355.646273714304
"322",322,0,265.224685410508
"323",323,0,357.965796640446
"324",324,0,287.012363731978
"325",325,0,366.555357317736
"326",326,0,340.190341138702
"327",327,0,324.118470250057
"328",328,0,339.622075319627
"329",329,0,383.207375346849
"330",330,0,314.646108271396
"331",331,0,340.979500381811
"332",332,0,344.263108216329
"333",333,0,372.189576150092
"334",334,0,351.24738518064
"335",335,0,309.335136323166
"336",336,0,368.071821436304
"337",337,0,231.855430551733
"338",338,0,410.855789814087
"339",339,0,317.708293779211
"340",340,0,265.037107951811
"341",341,0,378.059116888893
"342",342,0,334.242370900966
"343",343,0,344.004876470724
"344",344,0,316.273827613666
"345",345,0,288.969702465947
"346",346,0,263.397278711012
"347",347,0,341.329003489009
"348",348,0,300.637942878708
"349",349,0,403.940794857751
"350",350,0,311.913694216423
"351",351,0,309.620481985109
"352",352,0,336.611931366331
"353",353,0,359.168003384125
"354",354,0,385.3067566564
"355",355,0,341.163677838287
"356",356,0,344.41198100068
"357",357,0,340.428844793287
"358",358,0,355.191725321996
"359",359,0,379.069765602813
"360",360,0,367.162233351212
"361",361,0,314.694911476263
"362",362,0,350.73456048824
"363",363,0,309.909819846051
"364",364,0,335.905865554272
"365",365,0,378.345147433191
"366",366,0,338.041780330894
"367",367,0,270.474148253167
"368",368,0,349.220484327883
"369",369,0,378.816183691014
"370",370,0,375.440848390398
"371",371,0,357.161139729447
"372",372,0,319.045498898478
"373",373,0,289.028113012862
"374",374,0,380.372622506554
"375",375,0,288.548839525681
"376",376,0,295.392209411617
"377",377,0,318.537002377164
"378",378,0,371.018230638948
"379",379,0,270.742423697454
"380",380,0,330.221795507411
"381",381,0,351.294379728817
"382",382,0,389.195795019238
"383",383,0,352.765340526926
"384",384,0,355.951785066683
"385",385,0,396.870667511289
"386",386,0,286.2864219007
"387",387,0,309.999981117522
"388",388,0,347.471781133432
"389",389,0,391.541250979531
"390",390,0,348.900538890717
"391",391,0,270.401161902665
"392",392,0,413.129184970085
"393",393,0,340.654156937402
"394",394,0,316.78229092048
"395",395,0,308.481820454436
"396",396,0,355.824614813625
"397",397,0,365.170715357816
"398",398,0,370.889031631161
"399",399,0,352.496154375284
"400",400,0,346.64756330437
"401",401,0,326.746558497738
"402",402,0,296.520024239423
"403",403,0,359.378619643208
"404",404,0,378.279707392526
"405",405,0,343.603215217671
"406",406,0,335.928310372768
"407",407,0,330.722197812298
"408",408,0,295.805660278265
"409",409,0,336.095141455935
"410",410,0,318.192749019297
"411",411,0,360.841986269615
"412",412,0,354.410137429985
"413",413,0,345.633610347599
"414",414,0,295.584403785477
"415",415,0,382.274753010007
"416",416,0,381.455487327664
"417",417,0,307.772195884549
"418",418,0,333.983085136781
"419",419,0,322.05395513725
"420",420,0,340.178154180093
"421",421,0,306.951063861569
"422",422,0,353.410955900705
"423",423,0,343.393403539063
"424",424,0,325.390214271736
"425",425,0,324.237818936636
"426",426,0,382.04052851658
"427",427,0,399.63522263667
"428",428,0,343.901197693536
"429",429,0,320.488455968472
"430",430,0,293.399696670345
"431",431,0,352.656226409433
"432",432,0,385.351934373362
"433",433,0,377.043883421729
"434",434,0,324.858210888008
"435",435,0,344.375761498946
"436",436,0,344.547863185774
"437",437,0,365.438775894841
"438",438,0,361.454299939368
"439",439,0,334.442472663784
"440",440,0,293.88455756209
"441",441,0,390.72018250643
"442",442,0,328.38657055055
"443",443,0,338.833624603574
"444",444,0,414.723166539114
"445",445,0,293.774007344531
"446",446,0,282.693114186465
"447",447,0,346.218011359363
"448",448,0,351.964721248945
"449",449,0,406.054811003736
"450",450,0,305.072715404499
"451",451,0,373.507449151881
"452",452,0,347.36841685154
"453",453,0,322.173050620914
"454",454,0,315.888253320578
"455",455,0,302.763870460769
"456",456,0,399.30000271918
"457",457,0,434.456431094929
"458",458,0,302.990338038436
"459",459,0,309.188528084712
"460",460,0,296.666039236597
"461",461,0,350.731214467977
"462",462,0,330.777806171385
"463",463,0,297.537959510422
"464",464,0,302.344723126764
"465",465,0,341.747626159289
"466",466,0,375.799420594242
"467",467,0,355.466072646838
"468",468,0,316.813324352159
"469",469,0,333.976309761614
"470",470,0,322.297650698495
"471",471,0,296.852396875765
"472",472,0,301.200096739722
"473",473,0,358.885912034719
"474",474,0,302.97651746439
"475",475,0,300.205413708925
"476",476,0,294.13776379911
"477",477,0,299.959972091357
"478",478,0,294.641484659878
"479",479,0,309.557151493917
"480",480,0,320.302481181987
"481",481,0,315.808216332498
"482",482,0,301.337301147828
"483",483,0,404.818589788322
"484",484,0,282.451764179557
"485",485,0,341.052851013749
"486",486,0,311.482430967942
"487",487,0,341.052851013749
"488",488,0,370.613231558733
"489",489,0,365.203880080637
"490",490,0,315.156383987625
"491",491,0,348.963402279692
"492",492,0,359.843539229392
"493",493,0,434.600237039832
"494",494,0,289.586921512377
"495",495,0,332.827389705053
"496",496,0,403.174392047284
"497",497,0,335.268648914653
"498",498,0,282.761835919316
"499",499,0,307.257953878681
"500",500,0,257.383590909165
